"CREATIONDATE","OBJECTDESC","TITLE","CLOSEDDATETIME","CASECLOSUREREASONDESCRIPTION"
"2025-02-16 00:00:00","4162 W LISBON AV","City-Owned Vacant Lots - Sidewalks Not Shoveled","","The sidewalks on Lisbon Ave side of Washington Park and an empty lot just across the street."
"2025-02-16 00:00:00","3786 S 69TH ST, MILWAUKEE, WI, 53220-1813","Street Light Cycling","2025-02-16 00:00:00","Street light is cycling."
"2025-02-16 00:00:00","3419 S ADAMS AV","Street Light Out","","Street lights on our street are out."
"2025-02-16 00:00:00","4717 N 19TH ST, MILWAUKEE, WI, 53209-6434","Snow Plow Request","2025-02-16 00:00:00","Street still not plowed."
"2025-02-16 00:00:00","3752 N 2ND ST, MILWAUKEE, WI, 53212-1511","Snow Plow Request","2025-02-16 00:00:00","Street still not plowed."
"2025-02-16 00:00:00","1629 N 23RD ST, MILWAUKEE, WI, 53205-1523","Snow Plow Request","2025-02-16 00:00:00","Walkway plowed in. Resident is disabled."
"2025-02-16 00:00:00","1835 N COMMERCE ST, 103, MILWAUKEE, WI, 53212-3764","Garbage Cart: Damaged","","I think my garbage can may have gotten hit by a car last week. I tried to fix it, but when I went to pick up my garbage can today, the lid was completely gone."
"2025-02-16 00:00:00","3312 S 52ND ST, MILWAUKEE, WI, 53219-4517","Snow Plow Request","2025-02-16 00:00:00","street not plowed"
"2025-02-16 00:00:00","3466 S 16TH ST, MILWAUKEE, WI, 53215-4904","Snow Plow Request","2025-02-16 00:00:00","The plow came thru once on the even side and there were cars on that side. Now all the cars are on the odd side of the street. The even side is what needs to be plowed."
"2025-02-16 00:00:00","7151 N 41ST ST, MILWAUKEE, WI, 53209-2234","Snow Supervisor Request","","Hello, today you guys had plow snow on the street. Plowing snow to cover my driveway without no entering or exiting to my house. Whoever did this did a poor job on it. 

This is on 41st street Milwaukee with 53209"
"2025-02-16 00:00:00","7842 W VAN BECK AV, MILWAUKEE, WI, 53220-2227","Snow Plow Request","2025-02-16 00:00:00","Cul De Sac still not plowed."
"2025-02-16 00:00:00","8472 W DENVER AV, MILWAUKEE, WI, 53224-4858","Missed Collection: Recycling","","The garbage and recycling was not completed on Friday 2/14/2025 for my neighborhood. My recycling is full and I need this picked up. I pay my taxes, and there was no weather conditions that prevented this from being completed and no notifications from the city. I would like my recycling scheduled to be picked up as soon as possible as next scheduled Feb28th is not acceptable."
"2025-02-16 00:00:00","7919 W KATHRYN AV, MILWAUKEE, WI, 53218-3727","Street Light Out","","Our street lights are out on Kathryn Ave.. Has happened many times, but not for awhile. We all thought problem was corrected. Even had news story on it."
"2025-02-16 00:00:00","2761 S 53RD ST, MILWAUKEE, WI, 53219-3266","Snow Plow Request","2025-02-16 00:00:00","For the second day in the row the west side of the 2700 block of 53rd street is not plowed anywhere near the curb but the opposite side is cleared to the curb
now the snow extends over 5 feet into the street"
"2025-02-16 00:00:00","4404 N 55TH ST, MILWAUKEE, WI, 53218-5714","Snow - Corner Not Cleared","2025-02-16 00:00:00","Corner and complete Congress sidewalk covered in snow for three days since first snowfall. Elderly woman fell in result. Owners  not clearing snow like everyone else and it’s a hazard to pedestrians walking on busy street to avoid falling on this snow filled sidewalk to often needs to be cleared"
"2025-02-16 00:00:00","4145 N 78TH CT, MILWAUKEE, WI, 53222-2031","Snow Plow Request","2025-02-16 00:00:00","Street still not plowed."
"2025-02-16 00:00:00","7908 W KATHRYN AV","Street Light Out","2025-02-17 00:00:00","Street lights out entire block."
"2025-02-16 00:00:00","3361 S 86TH ST, MILWAUKEE, WI, 53227-4621","Snow Plow Request","2025-02-16 00:00:00","Snow plows rarely clear snow in Euclid park neighborhood. If they do come through streets are partially plowed, just down the middle of road. Surrounding neighborhoods plowing seems to be prompt and thorough. What gives."
"2025-02-16 00:00:00","9148 W CHESTER ST, 5","Snow Plow Request","2025-02-16 00:00:00","Snow plows never went down W Chester St."
"2025-02-16 00:00:00","3361 S 86TH ST, MILWAUKEE, WI, 53227-4621","Snow Plow Request","2025-02-16 00:00:00","Street still not plowed."
"2025-02-16 00:00:00","6700 W FINGER PL","Street Light Cycling","2025-02-17 00:00:00","Street light suspended above S 67th st and Finger Place cycles from amber to off and then back on but green. Other days it is off completely or the color temperature varies from cold to warm. Thank you!"
"2025-02-16 00:00:00","3217 S 56TH ST, MILWAUKEE, WI, 53219-4440","Snow Plow Request","2025-02-16 00:00:00","I live on a dead end st. And it hasn’t been plowed. Nor has Euclid Ave."
"2025-02-16 00:00:00","3072 N 63RD ST, MILWAUKEE, WI, 53210-1426","Snow Plow Request","2025-02-16 00:00:00","Please plow North 63rd Street between West Burleigh and West Appleton Ave curb-to-curb.  It is snow covered and people are getting stuck."
"2025-02-16 00:00:00","2465 N HUMBOLDT BL, MILWAUKEE, WI, 53212-3043","Snow Plow Request","2025-02-16 00:00:00","Cars are all parking on on side of street that has been plowed so that the unplowed side of the St. (west side on Humboldt Ave.) can be plowed."
"2025-02-16 00:00:00","1137 E CENTER ST, MILWAUKEE, WI, 53212-3004","Snow Plow Request","2025-02-16 00:00:00","Street still not plowed."
"2025-02-16 00:00:00","7708 W HOWARD AV, MILWAUKEE, WI, 53220-0000","Snow Plow Request","2025-02-16 00:00:00","Street still not plowed."
"2025-02-16 00:00:00","2570 N 2ND ST, MILWAUKEE, WI, 53212-2811","Missed Collection: Garbage","","Missed collection"
"2025-02-16 00:00:00","4006 W TOWNSEND ST, MILWAUKEE, WI, 53216-3653","Clogged Catch Basin/Surface Flooding","2025-02-16 00:00:00","water main break need CB opened 39TH TOWNSEND ST"
"2025-02-16 00:00:00","2550 N 47TH ST, MILWAUKEE, WI, 53210-2927","Street Light Out","",""
"2025-02-16 00:00:00","1670 S 15TH PL, MILWAUKEE, WI, 53204-3212","All Other Signs","","Both signs missing/ no parking DECEMBER 1 to March 1"
"2025-02-16 00:00:00","3312 S 52ND ST","Snow Plow Request","2025-02-16 00:00:00","bubble was cleared, but street was not plowed"
"2025-02-16 00:00:00","4660 N 90TH ST, MILWAUKEE, WI, 53225-4904","Snow Plow Request","","Need plow to come down from 91st and Courtland to 89th and Courtland Ave and then from 90th and Herbert to Hampton. Otherwise, the rest of the neighborhood looks really good. Thank you to everyone who has put in long hours and hard work."
"2025-02-16 00:00:00","9224 W FLAGG AV, MILWAUKEE, WI, 53225-0000","Snow Plow Request","","ON 91ST FLAGG NEED PLOWING"
"2025-02-16 00:00:00","2100 W WILBUR AV, MILWAUKEE, WI, 53221-1566","Clogged Catch Basin/Surface Flooding","2025-02-16 00:00:00","WATERMAIN BREAK CB NEED OPEN ON 18TH WILBUR AV"
"2025-02-16 00:00:00","3315 N 52ND ST, MILWAUKEE, WI, 53216-3243","Snow Plow Request","2025-02-16 00:00:00","Please plow"
"2025-02-16 00:00:00","7067 W HERBERT AV, MILWAUKEE, WI, 53218-2916","Dogs At Large","2025-02-17 00:00:00","Dog that is black and white, keeps getting out of backyard gate and running down the street and alley, darts in front of cars making them slam on brakes."
"2025-02-16 00:00:00","3825 N 17TH ST, MILWAUKEE, WI, 53206-2424","Snow Plow Request","2025-02-16 00:00:00","DRIVEWAY- ELDERLY"
"2025-02-16 00:00:00","4469 N 44TH ST, MILWAUKEE, WI, 53218-5243","Snow Plow Request","2025-02-16 00:00:00","On 2/15 snow plow ran against traffic (odd side street numbers) pushing snow against oncoming traffic/cars."
"2025-02-16 00:00:00","4962 S 15TH ST, MILWAUKEE, WI, 53221-2864","Snow Plow Request","2025-02-16 00:00:00","PLOWING NEEDED FULL OF LEAVES"
"2025-02-16 00:00:00","3247 S 69TH ST, MILWAUKEE, WI, 53219-4007","Snow Plow Request","2025-02-16 00:00:00",""
"2025-02-16 00:00:00","2234 S 25TH ST, MILWAUKEE, WI, 53215-2511","INFO ONLY: Parking Violations Information","2025-02-16 00:00:00","Timed 48hrs 5:30pm Feb14 C2505754"
"2025-02-16 00:00:00","1810 N 34TH ST, MILWAUKEE, WI, 53208-1915","Other Miscellaneous Forestry Request","2025-02-16 00:00:00","Request snow removal in street at 1810 N 34th Street, Milwaukee, WI 53208"
"2025-02-16 00:00:00","8401 W HELENA ST, MILWAUKEE, WI, 53224-4851","Missed Collection: Garbage","","Garbage was to be picked up Friday but still hasn't been picked up even though cart was out before 7AM"
"2025-02-16 00:00:00","420 S 3RD ST, MILWAUKEE, WI, 53204-0000","City-Owned Vacant Lots - Sidewalks Not Shoveled","",""
"2025-02-16 00:00:00","2242 S 12TH ST, MILWAUKEE, WI, 53215-2712","Snow Plow Request","2025-02-16 00:00:00","Plow  had to go around a vehicle that was parked between 2242-2246 s 12 st but now the vehicle moved n there's a long row of snow n some chunks left from plow n  vehicle moved so hoping plow can come back and swoop it up cuz it's too heavy for me to shovel ... when plow came thru this earlier morning it could've plowed that cuz no one was there thx much"
"2025-02-16 00:00:00","3456 S WHITNALL AV, MILWAUKEE, WI, 53207-3312","Street Light Out","2025-02-17 00:00:00","Reported the other day lights were out. Earlier this AM, the lights were out again, even though you completed last request  'Light Out Request #16525555'. Were only on for 5 hours or less. Please check and fix again. Thank you."
"2025-02-16 00:00:00","3113 S PENNSYLVANIA AV, MILWAUKEE, WI, 53207-2913","Sidewalks Not Shoveled (adjacent to Private Property)","","Route to school. Completely uncovered from both snowstorms this week. 

There are two properties on Euclid around the corner that haven’t shoveled either."
"2025-02-16 00:00:00","8225 W CENTER ST, MILWAUKEE, WI, 53222-0000","Sidewalks Not Shoveled (adjacent to Private Property)","","corner lot, both Center and 83rd not shoveled"
"2025-02-16 00:00:00","3401 N 76TH ST, MILWAUKEE, WI, 53222-3906","Snow Plow Request","2025-02-16 00:00:00","Two intersections 76 + Townsend and 76th and Keefe"
"2025-02-16 00:00:00","2670 N 81ST ST, MILWAUKEE, WI, 53213-0000","Sidewalks Not Shoveled (adjacent to Private Property)","","corner lot, both 81st and Center not shoveled"
"2025-02-16 00:00:00","3847 N 9TH ST, MILWAUKEE, WI, 53206-3310","Snow Plow Request","2025-02-16 00:00:00",""
"2025-02-16 00:00:00","6659 N 80TH ST, MILWAUKEE, WI, 53223-5564","Snow - Corner Not Cleared","","has not been cleared in 3 days"
"2025-02-16 00:00:00","6659 N 80TH ST, MILWAUKEE, WI, 53223-5564","Sidewalks Not Shoveled (adjacent to Private Property)","2025-02-16 00:00:00","undefined"
"2025-02-16 00:00:00","6324 W MEDFORD AV, MILWAUKEE, WI, 53218-5525","Snow Plow Request","2025-02-16 00:00:00","we missed plowing their street"
"2025-02-16 00:00:00","6659 N 80TH ST, MILWAUKEE, WI, 53223-5564","Snow - Corner Not Cleared","2025-02-16 00:00:00","Snow is not cleared, can not pass. 8:45am"
"2025-02-16 00:00:00","2221 N 15TH ST, MILWAUKEE, WI, 53205-1212","Garbage Supervisor Notification","","Garbage has not been picked up for my entire block in 2 weeks. I have no more space to put garbage."
"2025-02-16 00:00:00","6324 W Medford Ave, Milwaukee, WI 53218, USA","Snow Plow Request","2025-02-16 00:00:00","Missed plowing"
"2025-02-16 00:00:00","6300 W CLEVELAND AV, MILWAUKEE, WI, 53219-2656","Sidewalks Not Shoveled (adjacent to Private Property)","2025-02-16 00:00:00","Snow has not been removed from the sidewalks.  I have to walk in the road to get past."
"2025-02-16 00:00:00","2808 N 90TH ST, MILWAUKEE, WI, 53222-4611","Snow Plow Request","2025-02-16 00:00:00","Hi, if a plow come by my street to plow the even numbered side it would be greatly appreciated by the entire block as it's difficult to park. Thank you!"
"2025-02-16 00:00:00","3239 S 58TH ST, 304, MILWAUKEE, WI, 53219-4331","Snow Plow Request","2025-02-16 00:00:00","Please re plough and salt the short part of W. Ohio Ave from 60th to 58th street. Also North and South on 58th Street from Ohio. All of 58th street down to Morgan looked a little rough last night. Thanks for the great job you did with 58th street to our Condo at the dead-end of 58th street. Everyone seemed to have loved it. Doug Brandon 414-949-9698"
"2025-02-16 00:00:00","3854 N 74TH ST, MILWAUKEE, WI, 53216-1904","Snow Plow Request","2025-02-16 00:00:00",""
"2025-02-16 00:00:00","3240 N DOUSMAN ST, MILWAUKEE, WI, 53212-2248","Sidewalks Not Shoveled (adjacent to Private Property)","","Jasmine been cleared since smow on Wednesday."
"2025-02-16 00:00:00","7021 W HADLEY ST, MILWAUKEE, WI, 53210-1160","Snow Supervisor Request","2025-02-16 00:00:00","This is not a request.   It is a compliment:  Thank you for a great job clearing our street."
"2025-02-16 00:00:00","2834 N 92ND ST, MILWAUKEE, WI, 53222-4506","Bulky Pickup & San Inspector Notification","","Full size box spring, full size mattress, headboard and frame"
"2025-02-16 00:00:00","2125 W LOCUST ST, MILWAUKEE, WI, 53206-1626","Garbage Cart: Missing","","Hello, we recently purchased this 4 unit property. The trash and recycle carts were missing.  2 units are now occupied 2125A and 2125B W Locust St. Requesting 2 carts for trash and recycle for new tenants."
"2025-02-16 00:00:00","2125 W LOCUST ST, MILWAUKEE, WI, 53206-1626","Recycling Cart: Missing","","Need 2 for new tenants. Newly purchased 4 unit. 2 tenants are moving in. Recycling cans were missing."
"2025-02-16 00:00:00","4063 N 97TH ST, MILWAUKEE, WI, 53222-1415","Missed Collection: Garbage","","PICK UP DIDNT COME LAST THIRSDAY THE 13TH
IT WAS SNOWING"
"2025-02-16 00:00:00","858 E WATERFORD AV, 4, MILWAUKEE, WI, 53207-4540","Sidewalks Not Shoveled (adjacent to Private Property)","","property management / owner has not cleared snow & ice"
"2025-02-15 00:00:00","1762 S PEARL ST, MILWAUKEE, WI, 53204-3164","INFO ONLY: Parking Violations Information","2025-02-15 00:00:00","yes citation was issued"
"2025-02-15 00:00:00","5233 N 48TH ST","Icy Road","",""
"2025-02-15 00:00:00","6950 N 102ND ST, MILWAUKEE, WI, 53224-4404","Missed Collection: Recycling","","Friday 2-14 was pick up date. It has been two weeks since last pick up. The neighborhood has been plowed since 2
Thursday 2/13. Cart was out at 6am but no one came for the entire neighborhood."
"2025-02-15 00:00:00","3536 S 2ND ST, MILWAUKEE, WI, 53207-3238","Garbage Cart: Additional","","Access garbage weekly / two kids"
"2025-02-15 00:00:00","2170 S ROBINSON AV, MILWAUKEE, WI, 53207-1336","Graffiti","","Graffiti on building"
"2025-02-15 00:00:00","1613 S 10TH ST, MILWAUKEE, WI, 53204-3338","INFO ONLY: Parking Violations Information","2025-02-15 00:00:00","tow has been requested, citation issued C2505987"
"2025-02-15 00:00:00","2418 N MARYLAND AV, MILWAUKEE, WI, 53211-4438","City-Owned Building - Sidewalks Not Shoveled","","Maryland Ave Montessori School sidewalks need to be cleared of snow.  I walked by on Saturday 2/15 in the evening.  Snow is still there.  High traffic area.  Please clear."
"2025-02-15 00:00:00","11503 W HEATHER DR, MILWAUKEE, WI, 53224-2255","Snow Plow Request","","End of the cul de sac was skipped."
"2025-02-15 00:00:00","9022 W AUER AV, MILWAUKEE, WI, 53222-3626","Missed Collection: Garbage","","It might be related to suspension of pickups on Wednesday and Thursday but it looks like our neighbors garbage was picked up but ours wasn’t. Have had it at the curb since Wednesday evening."
"2025-02-15 00:00:00","2110 E OKLAHOMA AV, MILWAUKEE, WI, 53207-0000","Loose Lid","","MPD report of a missing manhole cover at the intersection of S. Ellen St. and E. Oklahoma Ave.  Operator contacted M5 at 708-7339."
"2025-02-15 00:00:00","3754 N 2ND ST, MILWAUKEE, WI, 53212-1511","Icy Road","2025-02-16 00:00:00","Please plow tonight 3700 block on N 2nd Street. A lot of us moved our vehicles for the plow bc we are only allowed to park on one side of the street and that side hasn’t been plowed. Ty"
"2025-02-15 00:00:00","9347 W DARNEL AV, MILWAUKEE, WI, 53224-2717","Miscellaneous Street Maintenance Request","2025-02-16 00:00:00","Plow came by and shoveled one side of the street and not the other. The snow is pushed to the one side. Please come back and plow the street and put down salt"
"2025-02-15 00:00:00","2989 S KINNICKINNIC AV, MILWAUKEE, WI, 53207-2518","Graffiti","","In the alley behind trailer park tavern on the utility box and their dumpster, also the dumpsters on the side of the building for 3001 s kinnickinnic."
"2025-02-15 00:00:00","3025 N 6TH ST, MILWAUKEE, WI, 53212-1906","Garbage Cart: New Customer","","Please deliver as soon as you can."
"2025-02-15 00:00:00","3027 N 6TH ST, MILWAUKEE, WI, 53212-1906","Recycling Cart: New Customer","","Please deliver as soon as possible."
"2025-02-15 00:00:00","1843 N 24TH PL, MILWAUKEE, WI, 53205-1405","Icy Road","2025-02-16 00:00:00","1843 North 24th place Milwaukee Wisconsin only 1 side of the street on my block was plowed no salt was put down at all. Area where i live MIDTOWN streets need to be plowed and Salted before it freezes. Thank you!"
"2025-02-15 00:00:00","8747 W MAGNOLIA ST, MILWAUKEE, WI, 53224-4023","Miscellaneous Street Maintenance Request","2025-02-16 00:00:00","Entire Street needs to be plowed and salted"
"2025-02-15 00:00:00","700 W HIGHLAND AV, MILWAUKEE, WI, 53233-1415","Potholes","","POLICE CALL P2502150790 / CASE C2502150071 // CLLR STATES YELLOW 18” COVER FROM EASTBOUND LANE TWO ON HIGHLAND AVE EAST OF NORTH 8TH ST FLEW IN THE AIR AND STRUCK HER IN THE BACK // OBJECT NOW ON SIDEWALK SOUTH ADJACENT FROM LOCATION // 2FT HOLE  COVERED BY TRAFFIC BARREL // CITY HALL ALSO NOTIFIED"
"2025-02-15 00:00:00","1329 N 32ND ST, MILWAUKEE, WI, 53208-2456","Sewer Odor","","SEWAGE SMELL"
"2025-02-15 00:00:00","340 W RESERVOIR AV, MILWAUKEE, WI, 53212-3631","Object to License","2025-02-15 00:00:00","The bar license is currently pending transfer to Kimberly Lloyd, who has exhibited irresponsible behavior that may pose a risk to public safety. Concerns arise from her repeated incidents of drinking and driving, including a recent OWI charge where she was pulled over while under the influence with her minor child in the vehicle. Granting her a bar license could further endanger the community."
"2025-02-15 00:00:00","437 E WARNIMONT AV, MILWAUKEE, WI, 53207-3333","Street Light Out","2025-02-16 00:00:00",""
"2025-02-15 00:00:00","2437 N 37TH ST, MILWAUKEE, WI, 53210-3045","No Heat","","Hi I rent a house on 37th the house address is 2437 N 37th the house is own by Smart Access they don’t really come to fix any problems if you call them but my furnace is not working correctly I have sent in two maintenance request and even call them some man came out and wasn’t even here for 30 minutes I explained that I had no heat and it’s so cold in the house I have to run my stove and I have 2 small children and one just has medical issues where being in an environment that has no heat cause his condition to act up but the furnace doesn’t stay on the man didn’t say anything he look at the thermostat and was going down to the basement I told him that the heat keep cutting off my thermostat can be on 80 and the heat can run and it automatically cuts offs and not come back on at all you have to go downstairs to bang and flip a switch and it redoes it all over again to where I gotta do down there again but the maintenance guy didn’t do any thing he told me that it wasn’t doing that furnace it’s not staying lit and he didn’t leave no type of contact for to check and make sure everything was still running okay literally was in my house less than 20mins than gone say it’s fix  the heat was running and after he left it cuts right back off 20 minutes  after he left it’s really cold my whole entire house is cold they don’t call you back to see anything was fix I been dealing with this for a week now and we have days that our going to be in the negative temperature coming this week and my kids cannot be in the house where there’s no heat I truly fill like they our not taking this matter seriously  because I can’t even get in contact with owners who owns the agency of smart Assets"
"2025-02-15 00:00:00","2009 N 37TH ST, MILWAUKEE, WI, 53208-1804","Icy Road","2025-02-15 00:00:00","Other side of street needs plowing ASAP please ?"
"2025-02-15 00:00:00","1545 N 7TH ST, MILWAUKEE, WI, 53205-0000","City-Owned Building - Sidewalks Not Shoveled","","Why the plow doesn’t move the snow to the crib in Hillside a city development"
"2025-02-15 00:00:00","3456 S WHITNALL AV, MILWAUKEE, WI, 53207-3312","Street Light Out","2025-02-16 00:00:00","Street lights are out at my address and east on Morgan Ave. This is third/fourth time in a year that we have had this reported. Please fix. Thank you"
"2025-02-15 00:00:00","8126 W GLEN AV, MILWAUKEE, WI, 53218-2528","Recycling Cart Not Returned to Storage Location","","cart has been sitting on the curb for two weeks"
"2025-02-15 00:00:00","4269 N 60TH ST, MILWAUKEE, WI, 53216-1208","Me2 Request","",""
"2025-02-15 00:00:00","2316 W MERRILL ST","Icy Road","2025-02-15 00:00:00","Our side street 2300 block of West Merrill has a ton of snow and lots of residents from Central America where they do not know how to drive on it. Merrill and also 24th Street between Rogers and Beecher have not been plowed. Thanks for any help you can provide!"
"2025-02-15 00:00:00","4619 W VILLARD AV, MILWAUKEE, WI, 53218-4457","Clogged Catch Basin/Surface Flooding","2025-02-15 00:00:00","WATER MAIN BREAK NEEDS CBS OPEN"
"2025-02-15 00:00:00","3246 N COLONIAL DR, MILWAUKEE, WI, 53222-3436","Missed Collection: Garbage","","Garbage was supposed to be collected yesterday but was missed."
"2025-02-15 00:00:00","3346 N CRAMER ST, MILWAUKEE, WI, 53211-3008","Missed Collection: Garbage","","Carts were left out WED 2/12 per schedule.  Recycle was picked up 2/14, got a notice saying obstruction, but it was snow and the worker literally just needed to move the cart one foot, instead they ignored it.  Recycle bins are completely full.  Please have special pick up"
"2025-02-15 00:00:00","3346 N CRAMER ST, MILWAUKEE, WI, 53211-3008","Missed Collection: Recycling","","carts left out per schedule.  both recycle and garbage were out because both were missed due to snow.  On 2/14, recycle was collected but because my cart was next to the other one, because of snow, they refused and left an obstruction notice.  Workers could have moved the cart one foot to get it."
"2025-02-15 00:00:00","1500 N 52ND ST, MILWAUKEE, WI, 53208-2222","Missed Collection: Garbage","","Good morning, I understand snow removal was the top priority for the crews. Excellent job as usual and thank you! Garbage collection was missed for our block on 1500 N 52nd. It stated it was supposed to be collect yesterday 2/14 and now it shows online that garbage will be collected on 2/21. If we could have that collected prior to 2/21, I'd appreciate it. Thank you! Lyra"
"2025-02-15 00:00:00","4346 N 83RD ST, MILWAUKEE, WI, 53222-1810","Missed Collection: Garbage","","Friday collection missed"
"2025-02-15 00:00:00","3873 N 41ST ST, MILWAUKEE, WI, 53216-3065","INFO ONLY: Snow Plow Information","2025-02-15 00:00:00","Snow operations need more time"
"2025-02-14 00:00:00","9216 W BLUE MOUND RD, MILWAUKEE, WI, 53226-0000","Missed Collection: Recycling","","Collection date was scheduled for 2/12 for our neighborhood.  Carts have been on curb, no pick up was made."
"2025-02-14 00:00:00","7000 W LAKEFIELD DR, MILWAUKEE, WI, 53219-4022","Street Light Out","2025-02-15 00:00:00","Light has been out for a week now."
"2025-02-14 00:00:00","2026 S 15TH ST, MILWAUKEE, WI, 53204-3708","Snow Plow Request","2025-02-14 00:00:00","It does not look like the snow plow came through due to parking."
"2025-02-14 00:00:00","1806 E KANE PL, MILWAUKEE, WI, 53202-0000","Snow Supervisor Request","2025-02-14 00:00:00","Snow not shoveled in front of apartment or at northeast corner of prospect and Kane. Unable to walk. Thank you."
"2025-02-14 00:00:00","2010 N 31ST ST, MILWAUKEE, WI, 53208-1961","INFO ONLY: Garbage Collection Day Information Request","2025-02-14 00:00:00",""
"2025-02-14 00:00:00","3605 S 75TH ST, MILWAUKEE, WI, 53220-1139","Recycling Supervisor Notification","","crew emptied the carts on street and got box next to caller's cart but did not empty her cart, nothing contaminated"
"2025-02-14 00:00:00","811 N HAWLEY RD, MILWAUKEE, WI, 53213-3219","Potholes","","null"
"2025-02-13 00:00:00","2024 S LENOX ST, MILWAUKEE, WI, 53207-1210","Snow Plow Request (DO NOT USE)","2025-02-13 00:00:00","We got salted in the early morning or Wednesday morning but haven’t seen a plow at all."
"2025-02-13 00:00:00","4407 N 53RD ST, MILWAUKEE, WI, 53218-5711","Snow Plow Request (DO NOT USE)","2025-02-14 00:00:00","SNOW PLOW REQUEST ENTIRE BLOCK"
"2025-02-13 00:00:00","5543 N 52ND ST","Snow Plow Request (DO NOT USE)","2025-02-13 00:00:00","The snowplow is not dropping salt on out streets. Since yesterday it only passed once and there is alot of snow accunulated on the street block."
"2025-02-13 00:00:00","1722 W JUNEAU AV, MILWAUKEE, WI, 53233-0000","Missing Sewer Lid or Grate","","MISSING SEWER GRATE"
"2025-02-13 00:00:00","6500 N 51ST ST, MILWAUKEE, WI, 53223-6010","Snow Plow Request (DO NOT USE)","2025-02-14 00:00:00","Snow plow operator overnight did a great job curb to curb, much appreciated for the hard work last night. 51st St looks great!"
"2025-02-13 00:00:00","7900 W WINFIELD AV, MILWAUKEE, WI, 53218-1154","Snow Plow Request (DO NOT USE)","2025-02-14 00:00:00","curb to curb"
"2025-02-13 00:00:00","1128 E LOCUST ST, MILWAUKEE, WI, 53212-0000","City-Owned Vacant Lots - Sidewalks Not Shoveled","2025-02-14 00:00:00","Sidewalk on north side of Locust between Dousman and Humboldt needs shoveling"
"2025-02-12 00:00:00","3738 W SCOTT ST, MILWAUKEE, WI, 53215-1404","Missed Collection: Garbage","","My garbage was not collected"
"2025-02-12 00:00:00","3251 N 88TH ST, MILWAUKEE, WI, 53222-3603","Large Items Discarded on Private Property","2025-02-13 00:00:00","3251 88th street always has overflowing garbage cans. I have seen rats and squirrels going through the garbage, which gets spread all over alley. This morning I noticed that they helped themselves to my garbage can....where am I supposed to put my garbage now!"
"2025-02-12 00:00:00","8333 W MORGAN AV, MILWAUKEE, WI, 53220-1037","Parking on Unapproved Surface, Private Property","","dark green suburban license plate 372-ZXV parked on sidewalk playing stereo loud all night"
"2025-02-12 00:00:00","3215 N HACKETT AV, MILWAUKEE, WI, 53211-3140","Large Items Discarded on Private Property","2025-02-12 00:00:00","Fridge, microwaves and other debris."
"2025-02-11 00:00:00","2543 S LENOX ST, MILWAUKEE, WI, 53207-1803","Barricade or Guardrail Problem","2025-02-12 00:00:00","Caller states road closed sign along E Otjen St side of location has been on site  for several weeks after work completed."
"2025-02-11 00:00:00","4025 N SHERMAN BL, MILWAUKEE, WI, 53216-0000","Scattered Litter and Debris on Private Property","","Trash at the alley."
"2025-02-11 00:00:00","3843 N 68TH ST, MILWAUKEE, WI, 53216-2009","Broken Branch Down - Not Blocking","2025-02-12 00:00:00","Tree branch down from windy day last week sitting on side of yard near street at 3843/45 N 68th Street Milwaukee, WI 53218"
"2025-02-11 00:00:00","4036 N 44TH ST, MILWAUKEE, WI, 53216-1502","INFO ONLY: Garbage Disposal Info Request","2025-02-11 00:00:00",""
"2025-02-11 00:00:00","3745 S 3RD ST, MILWAUKEE, WI, 53207-3850","Area Dark","2025-02-11 00:00:00","Lights are out for the 5th straight night"
"2025-02-11 00:00:00","181 W CRAWFORD AV, MILWAUKEE, WI, 53207-3865","Street Light Out","2025-02-11 00:00:00","whole street and block lights out"
"2025-02-11 00:00:00","3864 S 78TH ST, MILWAUKEE, WI, 53220-1666","Parking on Unapproved Surface, Private Property","","car parked on patio."
"2025-02-11 00:00:00","9426 W BLUE MOUND RD, MILWAUKEE, WI, 53226-4451","Area Dark","2025-02-11 00:00:00",""
"2025-02-11 00:00:00","3100 W CAMERON AV, MILWAUKEE, WI, 53209-5437","Icy Road","","watermain break road is slippery"
"2025-02-10 00:00:00","3963 S LOGAN AV, MILWAUKEE, WI, 53207-4549","Alley Light Out","","Alley light out kast 5 days."
"2025-02-10 00:00:00","3800 N 62ND ST, MILWAUKEE, WI, 53216-2109","Garbage Cart Collection Request: Cart Not at Collection Point","",""
"2025-02-10 00:00:00","1902 W CAPITOL DR, MILWAUKEE, WI, 53206-2461","Dead Animal","2025-02-11 00:00:00","Dead Dog in road"
"2025-02-10 00:00:00","3543 S MASSACHUSETTS AV, MILWAUKEE, WI, 53220-1179","Other Miscellaneous Forestry Request","","The city recommended that I reach back out to the city nearer to spring 2025 & request to have several yards (guessing 7 or 8 cu yards) of sifted topsoil spread/then seeded for grass or sod. (see attached image for overflow text)"
"2025-02-10 00:00:00","5119 A W NORTH AV, MILWAUKEE, WI, 53208-1122","Bulky Pickup & San Inspector Notification","","I need a mattress disposed of. New one has been delivered. I have no way of transporting it Myself"
"2025-02-10 00:00:00","3051 S 41ST ST, MILWAUKEE, WI, 53215-3562","Scattered Litter and Debris on Private Property","2025-02-11 00:00:00","They are moving more people into this house looks like they have people in the basement again. There was a rat in the carpet that they have in the backyard."
